Complexity,Loss,Equation
1,39.271526,"-7.9538817"
3,20.138247,"x0 * -2.550174"
5,19.369822,"x0 * (x0 + -7.202884)"
6,13.370277,"sin(x0 * 0.3537885) * -12.18587"
7,4.7275915,"sin(square(x0 * 0.28101093)) * -16.052782"
8,1.9162016,"(sin(x0 - 1890.5979) * 8.643531) + -7.95381"
9,1.2784245,"sin(sin(x0 - 33.917965) + 0.8098613) * -14.153433"
10,1.0853794,"((x0 + -11.263345) * sin(x0 + 16.318062)) + -8.817006"
11,0.99437034,"-2.5639412 + (-12.037708 * sin(0.62511003 + sin(x0 - 33.91763)))"
12,0.85898006,"(square(sin(sin((x0 * 0.4940159) + -0.44684258))) * -24.651918) + 1.664443"
13,0.49349356,"(square(sin(sin(sin((0.9360264 - x0) * 0.50143856)))) * -31.848015) - -2.302495"
14,0.35886577,"(square(sin(sin(sin(sin((x0 * 0.50558555) - 0.47998825))))) * -38.955143) - -2.8323343"
15,0.35422856,"(square(sin(sin(sin(sin(sin((x0 * 0.50825894) - 0.48553312)))))) * -46.008247) - -3.2799969"
