Complexity,Loss,Equation
1,39.271523,"4.7944794"
3,26.664145,"7.857222 - x0"
4,11.392817,"square(x0 - 4.277458)"
6,11.39138,"square(4.2716002 - x0) + 0.04582095"
7,7.693532,"square(3.5724874 - square(x0 * -0.41964808))"
8,1.9162308,"(sin(x0 + 321.08328) * 8.643644) + 4.794203"
9,1.2264626,"square(sin(x0 + 0.64052844) - -4.3212714) + -14.379421"
10,1.0853796,"3.9314008 - (sin(x0 - 18.239414) * (x0 - 11.264527))"
11,0.58847463,"square((sin(x0 + 0.6399222) * 1.8052946) + 2.3938584) + -2.5659626"
13,0.5772518,"square((sin((x0 + 0.610129) * 1.0088291) * 1.839363) + 2.3535964) + -2.472146"
15,0.45045766,"square(sin(sin(sin(x0 + -1.3928722) + 1.2498727) + x0) - -4.9027753) + -18.451593"
