Complexity,Loss,Equation
1,39.271526,"-2.99244"
3,25.110851,"x0 * -1.3508403"
4,22.236437,"sin(x0) - x0"
5,20.059874,"(x0 * -2.4172788) + 4.411822"
6,10.870691,"sin(x0 - -270.81772) * 8.643587"
8,1.9162462,"(sin(x0 - -63.472702) * 8.643643) + -2.9924052"
9,1.2422577,"sin(sin(x0 - -60.330544) - -0.3929621) * -10.565562"
10,1.08538,"((11.263765 - x0) * sin(x0 + 6.8932347)) + -3.8553348"
11,0.8780141,"(14.161374 - x0) * sin(sin(x0 + 6.865562) - 0.4569381)"
13,0.85259914,"(14.611508 - x0) * (sin(sin(x0 + 0.5840159) - 0.53858066) + 0.07207351)"
14,0.78532755,"(sin(sin(x0 + 6.928161) - -5.7905927) * (13.347802 - x0)) + sin(x0)"
15,0.4838342,"sin(x0 + x0) - ((x0 + -12.032803) * (sin(x0 + 0.5611805) + -0.432547))"
