Complexity,Loss,Equation
1,39.271526,"-1.2992033"
2,34.531834,"sin(x0)"
3,26.664145,"1.7633668 - x0"
4,16.957743,"sin(x0) * 6.928416"
5,16.918512,"sin(sin(x0)) * 7.8715014"
6,3.6051078,"sin(313.51843 - x0) * -8.643548"
8,1.9162309,"(sin(263.25293 - x0) * -8.643542) + -1.299561"
9,1.2264638,"square(sin(x0 - -0.6404524) + 4.3218307) - 20.478346"
10,1.0853798,"-2.162513 - ((x0 + -11.263785) * sin(-3.7516153 - x0))"
11,0.5884751,"(square(sin(x0 + 0.63993007) + 1.325806) - 2.6564693) * 3.2597232"
13,0.58847475,"((square(sin(x0 + 0.6399506) + 1.3257262) - 2.65592) * 3.2598298) - 0.000927152"
15,0.46351886,"(square(sin(sin(x0 + 1.4249077)) + (sin(x0) + 1.9444667)) - 5.62936) * 1.5612514"
