Complexity,Loss,Equation
1,39.271526,"-9.597483"
3,21.308489,"x0 * -2.947596"
5,15.340134,"x0 * (x0 + -7.6003356)"
6,11.347557,"sin(x0 * 0.36239868) * -14.131616"
7,4.037621,"square(sin(x0 * 0.3822065)) * -16.39815"
8,1.9162458,"(sin(x0 + 142.01251) * -8.643539) + -9.597845"
9,1.3657378,"square(sin(x0 * 0.38294128) + -0.3209227) * -39.168728"
10,0.8590797,"square(sin(sin((x0 + -0.9044613) * -0.4940457))) * -24.614655"
11,0.61072344,"square(sin(sin(sin((x0 + -0.93747354) * -0.501841)))) * -30.3659"
13,0.48249874,"(square(sin(sin(sin((x0 + -0.859969) * 0.46150976)))) * -38.21582) + x0"
14,0.3588631,"(square(sin(sin(sin(sin((x0 + -0.9494755) * 0.5056147))))) * -38.960083) + 1.189243"
15,0.35421526,"(square(sin(sin(sin(sin(sin((x0 + -0.95547426) * 0.50835365)))))) * -46.00874) + 1.6354396"
