Complexity,Loss,Equation
1,39.271526,"-7.8138056"
3,20.10342,"x0 * -2.5162535"
5,19.777523,"(x0 + -7.1690636) * x0"
6,11.391382,"square(4.2717466 - x0) + -12.562681"
8,1.9142888,"(sin(x0 + 46304.574) * -8.644581) + -7.813633"
10,1.0853795,"(sin(x0 + 16.318111) * (x0 + -11.263581)) + -8.676802"
12,1.0667017,"((x0 + -11.2972555) * sin((x0 * 1.0141381) + -8.852353)) + -8.708157"
13,0.85964966,"((sin(x0 + 46304.574) * -8.644474) + -7.813629) + sin(x0 + x0)"
15,0.706071,"(sin(x0 + -8.791018) * ((x0 - sin(x0 * 1.3771882)) + -11.111674)) + -9.007414"
