Complexity,Loss,Equation
1,39.271526,"-14.882929"
3,26.664145,"-11.819198 - x0"
5,11.8885975,"x0 * (x0 - 8.87803)"
6,9.992438,"sin(x0 * -0.37909693) * 20.463886"
8,1.9162462,"(sin(x0 - -132.5877) * 8.643655) - 14.882985"
9,1.2264707,"square(4.3198833 - sin(x0 + -2.5010602)) + -34.04435"
10,1.08538,"((x0 + -11.263731) * sin(x0 + 16.318123)) + -15.745839"
11,0.5884756,"square((sin(x0 + 0.63993794) * -1.805819) - 2.3931367) + -22.240551"
13,0.57722545,"square((sin((x0 * 1.0087236) + 0.6153461) * -1.8421767) - 2.3493257) + -22.132845"
15,0.57722485,"square(((sin((x0 * 1.0087602) + 0.61523575) * -1.8426874) - 2.3591483) + 0.010531571) + -22.13044"
