Complexity,Loss,Equation
1,39.271526,"-4.628122"
3,22.059713,"x0 * -1.746141"
5,20.059875,"(x0 * -2.4173648) + 2.7763667"
6,15.268858,"(sin(x0) + -0.66795284) * 6.9289145"
7,11.391382,"((x0 + -8.543397) * x0) + 8.870572"
8,1.9162312,"(sin(300.95206 - x0) * -8.643525) + -4.62819"
9,1.019339,"sin(sin(x0 - -0.6400013) + -0.5579491) * 11.505019"
11,0.99437225,"(sin(sin(x0 - -0.639889) + -0.62504315) + 0.06320805) * 12.035799"
13,0.7920613,"((sin(x0 + -33.926506) * -8.666626) + -4.6497054) - sin(x0 * -1.9038929)"
15,0.60743994,"((sin(x0 + -2.5176945) * -8.681034) + -4.6662) - (sin(x0 * -1.8986684) * 1.6019962)"
