Complexity,Loss,Equation
1,39.271523,"4.2278934"
3,26.664145,"7.290984 - x0"
4,11.582259,"square(4.207351 - x0)"
6,11.39138,"square(4.2715526 - x0) + -0.5198321"
7,8.033463,"square(x0 + -5.1913533) * sin(x0)"
8,1.9162306,"(sin(x0 + 273.9594) * -8.643524) + 4.2278733"
9,1.2264636,"square(sin(x0 + 19.490067) + 4.3211617) + -14.944555"
10,1.085413,"((x0 + -11.260874) * sin(x0 + 47.734543)) + 3.3612018"
11,0.5884747,"(square(sin(x0 + 0.63993746) + 1.3259016) * 3.2595685) + -3.1325011"
13,0.5772255,"(square(sin((x0 + 0.6101251) * 1.0086933) + 1.2756124) * 3.3929162) + -3.0231373"
15,0.43382168,"((sin(x0 + 0.620471) + 1.5551922) * (sin(x0 + x0) + 8.169031)) + -8.476605"
