Complexity,Loss,Equation
1,39.271526,"-13.743015"
3,26.664145,"-10.680348 - x0"
5,11.406903,"(x0 + -8.60252) * x0"
6,11.391382,"square(4.271626 - x0) - 18.491789"
7,11.39138,"(x0 * (x0 + -8.543397)) + -0.24456327"
8,1.916247,"(sin(x0 - -76.03906) * 8.64354) - 13.74333"
9,1.2264678,"square(sin(x0 + -2.5011141) + -4.320334) - 32.908237"
10,1.0853803,"(sin(x0 - -0.6100227) * (11.263789 - x0)) + -14.606251"
11,0.58848053,"square((sin(2.5016594 - x0) * 1.8069683) + 2.3914425) + -21.094555"
12,0.4717814,"square(square((sin(2.5017695 - x0) * -0.46813178) + -1.6308571)) - 22.583315"
14,0.46424326,"square(square((sin(2.496041 - x0) * -0.50501025) + -1.4252663) + 0.7730237) - 23.35233"
