Complexity,Loss,Equation
1,39.271523,"0.10425205"
2,32.853737,"sin(x0)"
3,26.664145,"3.1669323 - x0"
4,15.279648,"sin(x0) * 6.928615"
5,15.24042,"sin(sin(x0)) * 7.871316"
6,1.9270235,"sin(363.7839 - x0) * -8.643497"
8,1.6568047,"sin(-6.9054914 - x0) * (x0 + -11.260668)"
9,1.226455,"square(sin(363.78433 - x0) - 4.3201914) + -19.06026"
10,1.072623,"(x0 + -11.423489) * (sin(-0.6025006 - x0) - -0.09121777)"
11,0.58847535,"square((sin(x0 + 0.6399337) * -1.8057948) - 2.3931727) + -7.2538404"
12,0.4717447,"square(square((sin(x0 + 3.781386) * -0.4673172) - -1.6321424)) + -8.75521"
14,0.46364695,"square(square(-1.4211862 - (sin(x0 + 3.7853441) * -0.51033187)) + 0.76805663) + -9.462198"
