Complexity,Loss,Equation
1,39.271523,"-9.456328"
3,21.152903,"x0 * -2.913452"
5,15.63119,"(x0 + -7.566195) * x0"
6,11.391381,"square(4.2716956 - x0) + -14.20486"
7,11.39138,"(x0 * (x0 - 8.543376)) + 4.0420403"
8,1.9162471,"(sin(x0 - 74.757385) * 8.6435) + -9.456631"
9,1.2264647,"square(sin(x0 - -0.6406447) + 4.3210545) + -28.628464"
10,1.0853798,"(sin(x0 + 6.8932366) * (11.263806 - x0)) + -10.319618"
11,0.5884741,"square((sin(-16.3479 - x0) * 1.8058025) + 2.393165) + -16.814346"
13,0.5772251,"square((sin(-16.32332 - (x0 * 1.0087206)) * 1.8421885) + 2.3493042) + -16.706373"
