Complexity,Loss,Equation
1,39.271523,"-11.01637"
3,23.446114,"x0 * -3.2904716"
5,12.990056,"x0 * (x0 - 7.9433417)"
6,10.214277,"sin(x0 * 0.36812198) * -15.823569"
7,3.9452167,"square(sin(x0 * 0.3831728)) * -18.20069"
8,1.9162483,"(sin(x0 + 13.207204) - 1.2745726) * 8.643464"
10,1.6309665,"sin(sin(sin(x0 + 0.6392818)) - 0.8999728) * 17.155012"
11,0.7745727,"sin((sin(x0 + 0.6399729) * -0.7071425) - 2.373478) * 18.056252"
12,0.67235225,"sin(sin((sin(x0 + 0.6399513) * -0.62651825) - 2.4740553)) * 21.915426"
15,0.5472593,"x0 + ((sin(x0 + sin((x0 * 0.48575407) + 0.41589546)) - 1.1004138) * 10.592952)"
