Complexity,Loss,Equation
1,39.271523,"-6.2908564"
3,20.381594,"x0 * -2.1481514"
5,20.059872,"(x0 * -2.417376) + 1.1138235"
6,15.268855,"(sin(x0) * 6.9286427) - 6.290827"
7,11.39138,"(x0 * (x0 + -8.543396)) - -7.2079396"
8,1.9162309,"(sin(x0 + -291.52728) * -8.643554) + -6.290831"
9,1.0295026,"sin(-3.838579 - sin(x0 + -33.9177)) * -12.728525"
11,0.90942353,"sin(0.62207514 - (sin(x0 + 0.64001304) * 0.8794652)) * -13.284317"
13,0.79205525,"sin(x0 * 1.9038509) + ((sin(x0 + 280.23276) * -8.666661) + -6.312624)"
14,0.4768929,"(sin(sin(x0 + -8.820165) - 2.4314125) * 12.956664) - sin(x0 * -2.678255)"
