Complexity,Loss,Equation
1,39.271523,"2.5273395"
2,39.23029,"sin(x0)"
3,26.664145,"5.5903406 - x0"
4,15.0338,"square(4.025027 - x0)"
6,8.303593,"sin(x0 + 13.207209) * 8.64346"
8,1.9162306,"2.5273216 - (sin(x0 + -269.5361) * -8.643568)"
9,1.2264621,"square(sin(x0 - -0.64052886) + 4.321756) + -16.650694"
10,1.0853794,"(sin(x0 + 6.8932385) * (11.263806 - x0)) + 1.6643769"
11,0.5884748,"square((sin(x0 + 0.63991004) + 1.3263234) * 1.8051612) - 4.8343678"
15,0.57653046,"(x0 * 0.10451438) + (square((sin(x0 + 0.6307077) * 1.8570036) + 2.375041) - 5.1579266)"
