theta,delta_V_learned,delta_V_true
-3.133839393980912,0.3867218,0.423546339306743
-3.121247840259109,0.38323325,0.5002852351343351
-3.1086562865373066,0.38178176,0.5734837025395952
-3.0960647328155044,0.3821413,0.6426707867760827
-3.0834731790937013,0.38395613,0.7074013421068926
-3.0708816253718982,0.38675898,0.7672588958468134
-3.058290071650095,0.38998336,0.8218583279237547
-3.045698517928293,0.3929674,0.8708483487192072
-3.03310696420649,0.39499396,0.9139137592455499
-3.0205154104846876,0.3953001,0.9507774791182587
-3.0079238567628845,0.39310092,0.9812023292752475
-2.9953323030410814,0.38762492,1.004992557973351
-2.9827407493192784,0.37814158,1.0219951002438423
-2.970149195597476,0.36399573,1.0321005627036652
-2.957557641875673,0.34464854,1.0352439273861997
-2.944966088153871,0.31969756,1.0314049700631323
-2.9323745344320677,0.28891104,1.0206083903659806
-2.9197829807102647,0.252248,1.0029236528700844
-2.9071914269884624,0.20984763,0.9784645401635036
-2.8945998732666594,0.16203421,0.9473884207763593
-2.882008319544857,0.109265506,0.9098952366807422
-2.869416765823054,0.05211848,0.8662262168754868
-2.856825212101251,-0.008784115,0.8166623253326459
-2.844233658379448,-0.072805226,0.7615224532913598
-2.8316421046576457,-0.13933355,0.7011613675299131
-2.8190505509358426,-0.20782644,0.6359674278165771
-2.8064589972140404,-0.2778023,0.566360088225135
-2.7938674434922373,-0.34884435,0.49278719839136886
-2.781275889770434,-0.42058164,0.4157221220741904
-2.768684336048632,-0.49266988,0.3356606915603027
-2.756092782326829,-0.56475335,0.25311801750766644
-2.7435012286050267,-0.63644105,0.16862517475306932
-2.7309096748832236,-0.70730287,0.08272578540699535
-2.7183181211614205,-0.77684766,-0.004027478779858658
-2.7057265674396174,-0.8445175,-0.09107645227497282
-2.693135013717815,-0.90971357,-0.1778610669690839
-2.680543459996012,-0.97180635,-0.2638229556223233
-2.66795190627421,-1.0301559,-0.3484090443670165
-2.6553603525524068,-1.0841453,-0.4310751111533206
-2.6427687988306037,-1.1332042,-0.5112892872426817
-2.6301772451088006,-1.1768415,-0.5885354792208382
-2.6175856913869984,-1.2146623,-0.6623166895132993
-2.6049941376651953,-1.2463982,-0.7321582140392738
-2.592402583943393,-1.2719109,-0.7976106964305034
-2.57981103022159,-1.2912004,-0.8582530191644394
-2.567219476499787,-1.3044107,-0.9136950130102305
-2.5546279227779847,-1.3118045,-0.9635799673552083
-2.5420363690561816,-1.3137691,-1.0075869252605567
-2.5294448153343794,-1.3107698,-1.0454327484798474
-2.5168532616125763,-1.3033493,-1.0768739391543178
-2.504261707890773,-1.2920868,-1.1017082064641295
-2.49167015416897,-1.2775762,-1.1197757681559304
-2.479078600447168,-1.2603934,-1.1309603785727123
-2.466487046725365,-1.2410767,-1.1351900765717156
-2.4538954930035626,-1.2201021,-1.1324376485182925
-2.4413039392817595,-1.197861,-1.122720803376878
-2.4287123855599564,-1.1746438,-1.1061020587725268
-2.416120831838154,-1.1506331,-1.0826883387560966
-2.403529278116351,-1.1258867,-1.0526302858610204
-2.390937724394549,-1.1003463,-1.016121291877891
-2.378346170672746,-1.0738323,-0.9733962535827394
-2.3657546169509427,-1.0460618,-0.924730061424649
-2.3531630632291396,-1.0166585,-0.8704358308963438
-2.3405715095073374,-0.985174,-0.8108628879670492
-2.3279799557855343,-0.9511145,-0.7463945215391995
-2.315388402063732,-0.9139665,-0.6774455173896228
-2.302796848341929,-0.8732279,-0.6044594894615783
-2.290205294620126,-0.828451,-0.5279060256780872
-2.277613740898323,-0.7792724,-0.4482776666401156
-2.2650221871765206,-0.725467,-0.36608673664857105
-2.2524306334547175,-0.666992,-0.2818620474390749
-2.2398390797329153,-0.6040395,-0.19614549583758403
-2.227247526011112,-0.53707343,-0.10948857722720853
-2.214655972289309,-0.4668687,-0.022448837258545858
-2.202064418567507,-0.3945139,0.06441371536711527
-2.189472864845704,-0.32138616,0.1505402119617189
-2.1768813111239016,-0.24907905,0.23537651957952851
-2.1642897574020985,-0.17932063,0.3183768062768041
-2.1516982036802954,-0.11383754,0.3990070529632236
-2.1391066499584923,-0.054246724,0.47674848925014324
-2.12651509623669,-0.0019419789,0.5511009311895527
-2.113923542514887,0.04197949,0.621585999428965
-2.101331988793085,0.07674998,0.6877501970767347
-2.0887404350712817,0.1019308,0.7491678274751199
-2.0761488813494786,0.11738509,0.8054437331081623
-2.0635573276276755,0.12322849,0.8562158380225281
-2.0509657739058733,0.11978358,0.9011574774034447
-2.038374220184071,0.10752934,0.9399794993174158
-2.025782666462268,0.0870623,0.972432125099192
-2.013191112740465,0.05906242,0.9983065564133914
-2.000599559018662,0.02427429,1.0174363186510378
-1.9880080052968596,-0.016511977,1.0296983320176547
-1.9754164515750565,-0.062473357,1.0350137034216165
-1.9628248978532543,-0.11276227,1.0333482340677766
-1.9502333441314512,-0.16651827,1.0247126394905581
-1.9376417904096481,-0.22288018,1.0091624806108204
-1.925050236687845,-0.28100115,0.9867978062600754
-1.9124586829660428,-0.340061,0.9577625094720393
-1.8998671292442406,-0.39929014,0.9222434016830905
-1.8872755755224375,-0.45798236,0.8804690107981893
-1.8746840218006344,-0.51551086,0.8327081108554355
-1.8620924680788313,-0.5713447,0.779267992749295
-1.8495009143570291,-0.62505704,0.7204924871385928
-1.836909360635226,-0.67633325,0.6567597522597329
-1.8243178069134238,-0.7249666,0.5884798408782946
-1.8117262531916207,-0.7708579,0.5160920620329931
-1.7991346994698176,-0.81400394,0.4400621545465188
-1.7865431457480145,-0.85449034,0.36087929048861245
-1.7739515920262123,-0.89247555,0.279052927870998
-1.7613600383044101,-0.928172,0.19510953282370322
-1.748768484582607,-0.96183443,0.10958919234213532
-1.736176930860804,-0.9937392,0.023042139398320456
-1.7235853771390008,-1.0241711,-0.0639747872265569
-1.7109938234171977,-1.0534008,-0.150901725610961
-1.6984022696953955,-1.0816765,-0.23717939281253492
-1.6858107159735933,-1.1092052,-0.32225268326253137
-1.6732191622517902,-1.1361408,-0.40557424028324063
-1.6606276085299871,-1.162575,-0.4866079777494819
-1.648036054808184,-1.1885275,-0.5648325292360427
-1.6354445010863818,-1.2139452,-0.6397446024593914
-1.6228529473645787,-1.2387011,-0.7108622174314208
-1.6102613936427765,-1.2625945,-0.7777278074910344
