theta,delta_V_true,delta_V_dvnet,delta_V_lora
1.8524158798529875,0.7345544226845337,0.9688099,0.9688099
1.8650074335747906,0.7921272003188621,1.0365491,1.0365491
1.8775989872965937,0.8442818550437033,1.1050725,1.1050725
1.8901905410183968,0.8906828267979998,1.1739993,1.1739993
1.902782094740198,0.931031574387348,1.2428896,1.2428896
1.9153736484620012,0.9650684962809629,1.311239,1.311239
1.9279652021838043,0.9925746008730257,1.3784664,1.3784664
1.9405567559056074,1.0133729154621531,1.4438937,1.4438937
1.9531483096274105,1.0273296248836155,1.5067647,1.5067647
1.9657398633492118,1.034354932468441,1.5662358,1.5662358
1.978331417071015,1.0344036377900439,1.6214082,1.6214082
1.990922970792818,1.027475427481173,1.6713431,1.6713431
2.003514524514621,1.013614877250105,1.7150996,1.7150996
2.016106078236424,0.9929111650830876,1.7517803,1.7517803
2.0286976319582273,0.9654974974782861,1.7805545,1.7805545
2.0412891856800286,0.931550252402807,1.8007121,1.8007121
2.0538807394018317,0.8912878444869435,1.8116903,1.8116903
2.066472293123635,0.8449693197569819,1.8130915,1.8130915
2.079063846845438,0.7928926889478883,1.804702,1.804702
2.091655400567241,0.7353930101193161,1.7864964,1.7864964
2.104246954289044,0.6728402329112406,1.7586253,1.7586253
2.1168385080108454,0.6056368183091766,1.7214,1.7214
2.1294300617326485,0.5342151492332141,1.6752841,1.6752841
2.1420216154544516,0.45903474861113136,1.6208494,1.6208494
2.1546131691762547,0.38057932283416346,1.5587733,1.5587733
2.1672047228980578,0.29935364961779737,1.4898036,1.4898036
2.179796276619859,0.21588033029087558,1.4147303,1.4147303
2.192387830341662,0.13069642740853588,1.3343904,1.3343904
2.2049793840634653,0.04435000932256195,1.2496207,1.2496207
2.2049793840634653,0.04435000932256195,1.2496192,1.2496192
2.2175709377852684,-0.04260337605904266,1.1612751,1.1612751
2.2301624915070715,-0.12960427563546173,1.0701873,1.0701873
2.2427540452288746,-0.2160929306022712,0.9771816,0.9771816
2.2553455989506768,-0.3015128779075181,0.88305587,0.88305587
2.267937152672479,-0.3853145305031392,0.7885811,0.7885811
2.280528706394282,-0.46695871335653594,0.6944911,0.6944911
2.293120260116085,-0.5459201324718397,0.60148305,0.60148305
2.3057118138378883,-0.6216907546014081,0.51021165,0.51021165
2.3183033675596914,-0.6937830759026345,0.42128533,0.42128533
2.3308949212814936,-0.7617332585097436,0.33526295,0.33526295
