Complexity,Loss,Equation
1,60.16964,"-0.5299675"
3,52.070965,"x0 + -3.5941465"
5,50.311096,"(x0 + -3.369787) * 1.731774"
6,21.274559,"3.5060363 - square(3.9288018 - x0)"
8,9.215184,"6.9864283 - (square(x0 - 3.4598281) * 2.182022)"
10,1.8647826,"-14.373149 - (square(x0 * (x0 + -7.087892)) * -0.14818043)"
11,0.6091033,"-10.554145 - (square(square(x0 * (x0 + -7.205191))) * -0.00076074386)"
12,0.10291569,"-12.199895 - (square((x0 + -0.5032271) * (x0 + -6.66645)) * -0.2459183)"
14,0.10288049,"-11.903238 - ((square((x0 + -6.6678452) * (x0 + -0.5032972)) * -0.24576801) + 0.30230471)"
