Complexity,Loss,Equation
1,39.271523,"-4.4447646"
3,22.33224,"x0 * -1.7018998"
5,20.059874,"(x0 + -1.2242281) * -2.4173236"
6,15.268855,"(sin(x0) * 6.9280405) + -4.445061"
7,11.391381,"((x0 + -8.543397) * x0) + 9.053694"
8,1.9162309,"(sin(x0 + 443.6054) * -8.643498) + -4.445074"
9,1.0328093,"sin(sin(x0 + 3.7816215) + -2.600695) * 11.385438"
11,0.8858864,"sin(sin(x0 + 0.57809114) + -0.5839794) * (15.20391 - x0)"
13,0.646482,"(sin((sin(x0 + 0.63994145) * 0.41811788) + -1.0527072) * 42.627934) + 30.987257"
14,0.6110848,"(sin(sin((sin(x0 + 0.63980067) * 0.5481336) + -0.76785904)) * 28.215214) + 11.901394"
15,0.3392249,"sin(sin(x0 + ((square(sin(x0)) * 0.4477948) + -2.6948366)) + -2.6761942) * 12.320984"
