Complexity,Loss,Equation
1,39.271523,"1.3834913"
2,34.75623,"sin(x0)"
3,26.664145,"4.446197 - x0"
4,17.182137,"sin(x0) * 6.928507"
5,17.14291,"sin(sin(x0)) * 7.871185"
6,3.8295226,"sin(x0 + 515.86206) * 8.643521"
8,1.3538986,"(11.265363 - x0) * sin(x0 - -25.73456)"
9,1.2264647,"square(sin(x0 + 0.6405818) + 4.320956) + -17.786972"
10,1.0853796,"((11.263737 - x0) * sin(x0 - -6.893254)) + 0.5203053"
11,0.5884758,"(square(sin(x0 - -0.6399351) + 1.3248162) * 3.262086) + -5.973313"
12,0.47173232,"square(square((sin(-0.6398879 - x0) + -3.4993815) * 0.4666477)) - 7.4874215"
