Complexity,Loss,Equation
1,39.271523,"-2.8219"
3,25.507793,"x0 * -1.3095905"
4,22.289398,"sin(x0) - x0"
5,20.059874,"(x0 * -2.4172995) - -4.582028"
6,9.878111,"sin(x0 - 42439.133) * -8.644748"
8,1.9143333,"(sin(x0 - 34808.207) * 8.64486) + -2.822023"
9,1.2786922,"sin(sin(x0 - 143.8729) - 0.37421617) * 10.48663"
10,1.0853796,"-3.6853504 - ((11.263285 - x0) * sin(x0 + -21.381))"
11,0.8849546,"(14.049665 - x0) * sin(sin(x0 - -0.58301824) - 6.7238197)"
13,0.6739005,"(sin(x0 + sin((x0 + 0.6693045) * 0.44632283)) * 9.020406) + -1.3510798"
14,0.31019562,"(sin(sin(square((x0 * 0.2117917) + -1.7333783)) + x0) * 9.159691) + -1.0777797"
