Complexity,Loss,Equation
1,39.271523,"-1.4215492"
2,34.864796,"sin(x0)"
3,26.664145,"1.6407969 - x0"
4,17.290709,"sin(x0) * 6.9286447"
5,17.251478,"sin(sin(x0)) * 7.8709493"
6,3.938073,"sin(x0 + 327.3665) * 8.643533"
8,1.9162312,"(sin(x0 + 327.3665) * 8.643533) - 1.4219133"
9,1.3188343,"sin(sin(x0 * 0.50140935) + x0) * 9.084919"
10,1.0853798,"(sin(x0 + 6.893246) * (11.263879 - x0)) - 2.2848768"
11,0.67551637,"sin(x0 + sin((x0 * 0.44451132) + 0.30163124)) * 9.012881"
12,0.54859036,"sin(x0 + sin(sin(x0 + -1.3586464) + 1.1876527)) * 9.69823"
13,0.45424742,"sin(x0 + sin(sin(sin(x0 + -1.2743031)) + 1.0943215)) * 9.33936"
15,0.39965934,"sin(x0 + sin(sin(sin(-1.6354192 - (x0 * 1.0817814))) + 1.1350583)) * 9.271933"
