Complexity,Loss,Equation
1,39.271523,"3.458591"
3,26.664145,"6.521659 - x0"
4,12.58965,"square(x0 + -4.1197643)"
6,11.39138,"square(x0 + -4.271618) + -1.2898618"
7,8.241117,"sin(x0) * square(x0 + -5.0762544)"
8,1.9162457,"(sin(x0 - -142.01251) * -8.643528) + 3.4585817"
9,1.2264628,"square(sin(x0 + 0.6405761) + 4.321344) + -15.715437"
10,1.0853797,"(sin(18.239628 - x0) * (x0 + -11.2641115)) + 2.5963519"
11,0.58847463,"square((sin(x0 - -0.63993484) + 1.3261541) * 1.8051833) + -3.9019127"
13,0.58847415,"square(((sin(x0 - -0.6399349) + 1.3261572) * 1.8051857) - -2.713106e-6) + -3.9019125"
14,0.54742914,"(-0.50853634 - sin(x0 - sin(-1.1807008 - sin(x0 - 1.3544952)))) * -9.6958885"
15,0.40381593,"(-0.55776376 - sin(x0 - sin(-1.0471159 - sin(sin(x0 - 1.23408))))) * -9.33276"
