Complexity,Loss,Equation
1,39.271526,"3.5071325"
3,26.664145,"6.5697985 - x0"
4,12.500189,"square(x0 + -4.124915)"
6,11.391381,"square(x0 + -4.271601) + -1.2414522"
7,8.203842,"sin(x0) * square(x0 - 5.083773)"
8,1.9162314,"(sin(x0 + -263.25296) * 8.6438) - -3.5067766"
9,1.2264591,"square(-4.319923 - sin(x0 + -263.25302)) + -15.654908"
10,1.0853798,"((11.263713 - x0) * sin(x0 + 6.8932347)) - -2.6438863"
11,0.5884751,"square((sin(x0 - -0.639896) * 1.8055341) - -2.3935447) + -3.8522344"
15,0.5455202,"square((sin(x0 - -1.1874372) + (sin(sin(x0)) - -2.1040804)) * 1.147609) + -3.9268842"
