Complexity,Loss,Equation
1,39.271526,"-9.597538"
3,21.308489,"x0 * -2.947596"
5,15.340134,"x0 * (x0 - 7.6003356)"
6,11.391382,"square(4.2716155 - x0) - 14.346287"
8,1.9162312,"(sin(x0 - -280.24258) * -8.643535) - 9.597854"
9,1.7592075,"sin(sin(x0 - -0.6393216) - 0.90025187) * 15.7063675"
10,1.0853804,"(sin(x0 - -28.884472) * (x0 + -11.264636)) - 10.460486"
11,0.80163205,"sin((sin(x0 - -0.63998747) - 0.9783819) * 0.7481233) * 16.623142"
12,0.70189226,"sin(sin((sin(x0 - -0.6403305) - 0.96442145) * 0.66115123)) * 20.166933"
15,0.64859194,"(((sin(x0) * (x0 + -5.626179)) - 7.5719233) * sin(x0 - -22.682135)) - 10.713363"
