Complexity,Loss,Equation
1,39.271523,"-16.171097"
3,26.664145,"-13.107057 - x0"
5,13.243138,"x0 * (x0 + -9.189215)"
6,11.39138,"square(x0 - 4.2716646) - 20.918715"
8,1.9162481,"(sin(x0 - -28.91516) * -8.643615) + -16.17004"
9,1.2264657,"square(sin(x0 - -0.64053553) + 4.3206625) + -35.33843"
10,1.0853888,"(sin(x0 - -28.884876) * (x0 + -11.263925)) + -17.0328"
11,0.5884756,"square((sin(x0 - -0.6399384) * 1.8057563) + 2.3932185) + -23.528006"
13,0.5772275,"square((sin((x0 - -0.61016655) * 1.0086771) * 1.841735) + 2.3497717) + -23.420547"
