Complexity,Loss,Equation
1,39.271523,"0.104252346"
2,32.853737,"sin(x0)"
3,26.664145,"3.1669323 - x0"
4,15.279646,"sin(x0) * 6.928241"
5,15.24042,"sin(sin(x0)) * 7.871142"
6,1.9270239,"sin(x0 + 352.49924) * 8.643463"
8,1.6568047,"(11.260491 - x0) * sin(x0 - -6.9056)"
9,1.2264643,"square(sin(x0 + 0.640531) + 4.3209643) - 19.067043"
10,1.0726223,"(11.423394 - x0) * (sin(x0 - -6.885731) + -0.09121466)"
11,0.58847463,"square((sin(x0 + 0.63991547) + 1.3263901) * 1.8050468) - 7.2574673"
15,0.46351856,"square(((sin(x0) + sin(sin(x0 + 7.708059))) * 1.2494656) + 2.4294934) - 7.3848066"
