Complexity,Loss,Equation
1,39.271523,"1.354533"
2,34.67695,"sin(x0)"
3,26.664145,"4.417307 - x0"
4,17.102863,"sin(x0) * 6.928538"
5,17.063637,"sin(sin(x0)) * 7.8711343"
6,3.750251,"sin(-412.1895 - x0) * 8.643559"
8,1.3248374,"sin(18.24717 - x0) * (x0 + -11.265317)"
10,1.0853792,"((x0 + -11.263064) * sin(-25.742764 - x0)) + 0.4909559"
11,0.97766274,"((x0 + -11.263495) - sin(x0)) * sin(18.238129 - x0)"
13,0.61349297,"((sin(-0.6242646 - x0) * 2.892449) - 8.643496) * sin(5.6422224 - x0)"
15,0.41704726,"(((x0 + -5.586599) * sin(-0.36400968 - x0)) - -7.3841066) * sin(x0 + -5.614716)"
