Complexity,Loss,Equation
1,39.271526,"-1.2993519"
2,34.531834,"sin(x0)"
3,26.664145,"1.763222 - x0"
4,16.95774,"sin(x0) * 6.9287176"
5,16.918516,"sin(sin(x0)) * 7.8711147"
6,3.6051078,"sin(x0 + 402.7647) * 8.643514"
8,1.9162308,"(sin(x0 + 264.5346) * 8.643535) - 1.2996097"
9,1.2264502,"square(sin(x0 + 258.25116) + 4.3214602) - 20.474684"
10,1.0853798,"((11.2638855 - x0) * sin(x0 - -6.8932557)) + -2.162478"
11,0.99437207,"(sin(-0.62508947 - sin(-0.6398879 - x0)) * 12.035866) + 4.0897884"
13,0.7920549,"(sin(x0 * 1.903866) + (sin(x0 + 258.24158) * 8.666687)) - 1.3213481"
14,0.60156906,"square(sin(x0 + 0.6294391) + 4.3311734) - (sin(x0 * -1.8923382) + 20.58471)"
