Complexity,Loss,Equation
1,39.271526,"-14.883673"
3,26.664148,"-11.819896 - x0"
5,11.888599,"(x0 + -8.878041) * x0"
6,11.391382,"square(x0 + -4.2716117) + -19.631437"
8,1.9162462,"-14.883023 - (sin(x0 + 154.57892) * 8.643533)"
9,1.2264665,"square(sin(x0 + 0.64053607) - -4.320365) + -34.048668"
10,1.0853796,"-15.745301 - (sin(x0 + 19.45964) * (x0 - 11.264003))"
11,0.72656167,"sin((sin(x0 + 0.63996106) - 1.3600991) * 0.6216989) * 21.965752"
15,0.7060708,"-16.07649 - (((x0 - 11.111692) - sin(x0 * 1.3771776)) * sin(x0 - -0.6337496))"
