Complexity,Loss,Equation
1,39.271526,"-2.9923291"
3,25.110851,"x0 * -1.350701"
4,22.236437,"sin(x0) - x0"
5,20.059875,"(x0 * -2.4172893) - -4.4118776"
6,10.870691,"sin(x0 - -324.22488) * -8.64352"
8,1.9162312,"(sin(x0 - -324.22488) * -8.64352) - 2.9924061"
9,1.2422588,"sin(sin(x0 - 24.492485) + -0.39295965) * 10.565599"
10,1.0853801,"((x0 + -11.263777) * sin(x0 + 3.7516134)) + -3.8553507"
11,0.87801456,"sin(sin(x0 - -0.5823136) + -0.45694044) * (14.1614065 - x0)"
13,0.79207844,"(sin(x0 - 5.6517262) * 8.6655) - (sin(x0 * -1.9036169) + 3.011923)"
15,0.48383403,"sin(x0 + x0) + ((12.032788 - x0) * (sin(x0 - -0.5611817) + -0.43254736))"
