Complexity,Loss,Equation
1,39.271526,"-16.028986"
3,26.664145,"-12.965255 - x0"
5,13.052755,"x0 * (x0 + -9.155114)"
6,11.391382,"square(x0 + -4.2716174) + -20.7775"
8,1.9162471,"(sin(x0 + 28.915176) * -8.643527) + -16.029066"
9,1.2264636,"square(sin(x0 + 0.6406037) + 4.3213696) + -35.204044"
10,1.0853803,"((x0 + -11.263822) * sin(x0 + -2.531571)) + -16.892042"
11,0.5884751,"square((sin(x0 + 0.63996315) * 1.8055991) + 2.3934414) + -23.38777"
12,0.47172713,"square(square((sin(x0 + 0.6398648) * 0.4665052) + 1.6333218)) + -24.90547"
