Complexity,Loss,Equation
1,39.271523,"-12.461194"
3,26.664145,"-9.3984995 - x0"
5,11.670545,"x0 * (x0 + -8.292626)"
6,9.641277,"sin(x0 * 0.37292314) * -17.554197"
7,4.86128,"square(sin(x0 * 0.38404593)) * -20.038122"
8,1.9162314,"-12.461714 - (sin(x0 + 270.8178) * -8.643367)"
10,1.0853803,"-13.324514 - ((x0 + -11.263777) * sin(x0 + 0.6100089))"
12,1.0706813,"-13.469157 - (sin(x0 + 0.6006902) * ((x0 * 1.1613865) + -11.689669))"
13,0.86108035,"(sin(x0 + x0) - (sin(x0 + -128.16446) * 8.643552)) + -12.461558"
15,0.67705494,"-13.3550625 - ((sin(x0 + -24.537718) * (x0 + -11.188152)) - sin(x0 * 2.1516376))"
