Complexity,Loss,Equation
1,3.3466487,"-5.0051446"
4,2.1679733,"-5.0051436 - sin(x0)"
6,1.796476,"sin(-6.8946686 - x0) + -5.005131"
8,1.017186,"(sin(-0.6401336 - x0) * x0) + -5.8524146"
9,0.7872968,"square(sin(-0.61655354 - x0) + 1.024987) + -6.5556993"
11,0.56574124,"square((sin(-0.6194911 - x0) * 1.5267934) + 0.67135614) + -6.621378"
12,0.56369984,"((sin(x0 * -1.2419493) + 0.72751045) * (x0 - 1.6919664)) + -6.2025714"
13,0.5458314,"(x0 * sin(sin((x0 + -0.97795856) * 1.5837115) + 2.226314)) + -6.623868"
14,0.53254104,"(sin(sin(sin((x0 + -0.98599267) * 1.5808997)) + 2.3174212) * x0) + -6.622004"
